Unit: ~~~~
R1   L1   R2   L2   R3   L3   R4   L4

250.168    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
255.463    133.443    327.151    26.6799    305.422    130.399    280.686    123.725
516.701    40.6055    302.492    54.0422    370.365    82.3548    468.162    100.214
421.392    87.8811    326.754    24.1749    599.788    26.5865    291.978    176.796
448.767    24.4771    272.111    47.0052    500.511    41.0669    343.86    98.4997
250.168    252.762    344.287    20.8954    472.144    102.592    261.856    167.837
316.958    33.5136    343.905    49.3783    271.119    35.5901    616.558    21.7359
250.168    143.715    148.978    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    189.777    167.837
305.513    95.1158    337.497    37.1941    332.446    136.629    489.525    37.4963
251.404    109.684    267.106    84.7444    412.496    56.7888    306.536    187.876
331.393    111.211    292.482    22.7577    528.542    60.6836    578.501    89.9741
250.168    143.715    344.287    20.8954    472.144    371.281    261.856    167.837
572.733    23.1861    378.59    32.739    313.57    136.354    292.436    156.592
250.168    143.715    344.287    20.8954    124.203    102.592    261.856    167.837
479.408    26.6909    386.372    32.7061    533.746    29.2453    309.771    189.431
250.168    143.715    344.287    20.8954    64.5839    102.592    261.856    167.837
184.393    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
307.558    40.188    388.142    37.738    391.148    117.941    255.768    39.5068
697.874    24.3452    419.225    42.4952    265.931    55.1189    352.222    39.342
478.629    100.269    272.538    37.3754    501.198    99.461    521.981    45.4396
464.789    58.9422    448.447    29.2563    265.122    63.2929    314.44    77.2021
250.168    387.928    344.287    20.8954    472.144    102.592    261.856    167.837
400.838    27.0095    271.836    91.1881    346.393    34.9968    311.51    44.4398
250.168    143.715    344.287    20.8954    472.144    269.517    261.856    167.837
640.24    33.162    302.354    22.9719    737.274    81.0364    458.228    28.3059
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    347.232
267.167    190.645    365.39    30.9153    253.739    48.4664    625.576    61.5186
271.317    192.491    268.448    34.7661    338.794    128.219    511.345    104.993
290.788    108.344    349.734    32.9258    355.197    175.291    391.82    60.8319
250.168    143.715    118.462    20.8954    472.144    102.592    261.856    167.837
250.168    413.778    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    504.463    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    291.154    261.856    167.837
250.168    143.715    344.287    20.8954    61.4142    102.592    261.856    167.837
250.168    143.715    141.441    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    148.242    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    291.719
250.168    312.578    344.287    20.8954    472.144    102.592    261.856    167.837
410.405    88.2766    276.566    26.8667    333.789    133.355    292.451    173.753
439.917    191.293    275.101    26.0152    416.86    54.152    405.721    77.0977
195.446    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
383.824    136.288    300.981    70.5771    418.6    32.4589    270.905    45.6923
347.415    81.388    304.491    24.4441    581.858    90.5454    287.98    164.447
